scenario,n,rep,Khat,Z,scaled_exp,c_oracle,c_feasible,cover_oracle95,median_above_oracle,cover_feasible95,median_above_feasible
endpoint_baseline,10000,71,0.9996852611744259,3.1473882557409016,0.17715368780469717,0.05637726167309064,,True,True,,
endpoint_baseline,10000,72,0.9988955939355055,11.044060644944675,0.6216252691487877,0.055968817528367736,0.054566830131276126,True,True,True,True
endpoint_baseline,10000,73,0.998879826796101,11.201732038990109,0.6304999508362177,0.056454162997906954,,True,True,,
endpoint_baseline,10000,74,0.9969587312783625,30.41268721637458,1.711806507063186,0.05627442717422266,0.05809555130365676,True,False,True,False
endpoint_baseline,10000,75,0.9972288463934181,27.711536065818663,1.5597696915333408,0.05613532918431655,,True,False,,
endpoint_baseline,10000,76,0.9983074826732504,16.925173267495765,0.952649186385342,0.05604043522294485,0.05441164175419493,True,False,True,False
endpoint_baseline,10000,77,0.9988817370208662,11.18262979133755,0.6294247629845643,0.05598529118315254,,True,True,,
endpoint_baseline,10000,78,0.999760378254073,2.396217459269545,0.134873337891284,0.05612755770381721,0.05431066289187871,True,True,True,True
endpoint_baseline,10000,79,0.9988584239851603,11.415760148396625,0.6425467228879569,0.05694345677127963,,True,True,,
endpoint_baseline,10000,80,0.9990478745762487,9.521254237513377,0.5359126881232313,0.05574385563821659,0.05141882849598685,True,True,True,True
endpoint_baseline,10000,81,0.9988638821259359,11.36117874064091,0.6394745573704489,0.05628690809201432,,True,True,,
endpoint_baseline,10000,82,0.9977208623896616,22.791376103383776,1.2828338923530205,0.05622838903336174,0.05676767932206676,True,False,True,False
endpoint_baseline,10000,83,0.999730572858501,2.6942714149902347,0.15164958318748709,0.056532407040268,,True,True,,
endpoint_baseline,10000,84,0.9992254168381011,7.745831618989341,0.4359813676991593,0.05647003205211383,0.05759808950259715,True,True,True,True
endpoint_baseline,10000,85,0.9991826347579911,8.173652420089272,0.4600616610967629,0.05661261799960414,,True,True,,
endpoint_baseline,10000,86,0.99844249661604,15.575033839599906,0.876655327583206,0.05606845099708921,0.05441041529778389,True,False,True,False
endpoint_baseline,10000,87,0.9986031367603169,13.968632396831326,0.7862375219114207,0.05639845055951637,,True,False,,
endpoint_baseline,10000,88,0.9999244269868238,0.7557301317617782,0.04253697635889951,0.05632334007906717,0.056843460875904576,True,True,True,True
endpoint_baseline,10000,89,0.9960066268190525,39.93373180947501,2.2477073951548157,0.05636363066624551,,True,False,,
endpoint_baseline,10000,90,0.998971320304941,10.286796950590427,0.5790019747869408,0.055995516522606176,0.053127333047788675,True,True,True,True
endpoint_baseline,10000,91,0.9996213617066773,3.786382933227417,0.21312010008250548,0.05658710666512468,,True,True,,
endpoint_baseline,10000,92,0.9997849372314496,2.150627685504336,0.12105008808081968,0.05640566956813465,0.05711777843893908,True,True,True,True
endpoint_baseline,10000,93,0.9958000904665243,41.9990953347571,2.363958310336203,0.05613223053190337,,True,False,,
endpoint_baseline,10000,94,0.999866776183608,1.3322381639202518,0.07498626943852334,0.05638974167585125,0.058748590077377025,True,True,True,True
endpoint_baseline,10000,95,0.9995260836403893,4.739163596106932,0.26674824964118676,0.056156475383590525,,True,True,,
endpoint_baseline,10000,96,0.9995684622684099,4.315377315901037,0.24289504302056403,0.05655839101812446,0.058265658018359395,True,True,True,True
endpoint_baseline,10000,97,0.99841947314373,15.805268562699704,0.8896143040245225,0.05640358325907729,,True,False,,
endpoint_baseline,10000,98,0.9997875975873796,2.1240241262043824,0.11955268189646309,0.05579784828333578,0.05348209524441139,True,True,True,True
endpoint_baseline,10000,99,0.9958267393360157,41.732606639842686,2.348958745228137,0.05638641209454034,,True,False,,
endpoint_baseline,10000,100,0.9987217638529312,12.782361470687897,0.7194671547924357,0.05623193662524978,0.05564227260643844,True,False,True,False
endpoint_baseline,10000,101,0.9989961867201265,10.038132798735333,0.5650056807340524,0.05662362486832683,,True,True,,
endpoint_baseline,10000,102,0.9994186293675897,5.813706324102608,0.32722989076726466,0.0565533337371323,0.0582973081097044,True,True,True,True
endpoint_baseline,10000,103,0.9976067227120331,23.932772879668995,1.3470784760323609,0.0566479434032084,,True,False,,
endpoint_baseline,10000,104,0.9965285160554191,34.71483944580855,1.9539571637390079,0.056094300505804745,0.05607643070086719,True,False,True,False
endpoint_baseline,10000,105,0.9986933096391379,13.066903608620617,0.7354828748036766,0.0563401629583906,,True,False,,
endpoint_baseline,10000,106,0.997357053868754,26.42946131246049,1.4876069165136339,0.05583757176722805,0.054200015928508836,True,False,True,False
endpoint_baseline,10000,107,0.9998489051941012,1.5109480589881041,0.08504512280709445,0.05635722231875509,,True,True,,
endpoint_baseline,10000,108,0.9983894113562254,16.10588643774613,0.9065348619148136,0.0564672075236701,0.05611857737707756,True,False,True,False
endpoint_baseline,10000,109,0.9963136055147761,36.86394485223899,2.074921568920262,0.05619405037274181,,True,False,,
endpoint_baseline,10000,110,0.9973990429824151,26.00957017584893,1.4639729516884925,0.056138086246355225,0.05732139749405676,True,False,True,False
endpoint_baseline,10000,111,0.9992745051469385,7.254948530615035,0.4083515545587413,0.055836221465989176,,True,True,,
endpoint_baseline,10000,112,0.9940964352016458,59.035647983541885,3.322876589231745,0.05610057022755748,0.05573905220419817,False,False,False,False
endpoint_baseline,10000,113,0.9955080051449474,44.91994855052583,2.5283612618201263,0.0563572693204384,,True,False,,
endpoint_baseline,10000,114,0.9990751426813366,9.248573186634301,0.5205645804756995,0.05670529819334664,0.060634735303969074,True,True,True,True
