vm_id,n,mean,sd,maximum,zero_fraction,lag1,half_mean_diff,q_hat,gamma_hat,beta1_hat,q_face,gamma_face,lr_gamma0,mixture_p,pit_mean,pit_var,pit_lag1,cdf_distance,tear_log_density,ind_log_density,beta_log_density,tear_mae,ind_mae,beta_mae,tear_rmse,ind_rmse,beta_rmse
322,334,0.1007329626461363,0.1426546879238523,0.7906666666666666,0.0,0.8300483500694265,0.05913287710293698,1e-06,13.517966241889322,13.517967241889322,True,False,124.57084043819407,3.159137895728294e-29,0.4788400746566101,0.08151533083341406,0.5841001557015656,0.20111972175613557,0.9780996854008729,0.3235514455127252,0.61307803153306,0.12544134101979051,0.14389496648558453,0.10679101402727997,0.19597869114569,0.23285154234718772,0.16788891484673002
324,313,0.04399125209189107,0.06080710660018117,0.875,0.0,0.20366637200078305,0.01168103092943857,1e-06,24.17596520669838,24.17596620669838,True,False,8.421994219537964,0.0018535448543788963,0.5612337142003682,0.014697499775224058,0.15096362341484165,0.4369303515682156,2.1872389640551644,2.1764459201679105,2.3648100560549925,0.01589459015891198,0.016728002912515243,0.020111816238929617,0.031027241516442483,0.03184493389146136,0.031705120990120086
332,334,0.06630178927858568,0.023466199532947006,0.10116666666666667,0.0,0.9840562495596532,0.03942408041060736,1e-06,16.312592712196555,16.312593712196556,True,False,5.637734045244997,0.008788955516614487,0.6126346502513944,0.013890218779136524,0.9796572186964028,0.47760540505883453,1.9792054414390636,1.9657224512091669,4.426227491675283,0.024892723732327995,0.02763974290650582,0.0012573974256749761,0.024972676154881177,0.027718194555502562,0.0019449801774375967
387,340,0.08610619747899159,0.022018458828995266,0.3443333333333334,0.0,0.050716242643094316,0.006278081232492988,6.007766620060366,6.13543066775288,12.143197287813246,False,False,0.05302456821800661,0.40894073627304284,0.6253276313274666,0.002119450493496128,0.20307547766014375,0.537667826693985,1.4652474051674025,1.465935598607715,1.617996364285929,0.01195136805249587,0.011978839011915262,0.01131901268260035,0.032486074402206876,0.032223337692777826,0.032667049515984516
534,287,0.05150746640119462,0.06735326009225796,0.3203333333333333,0.017421602787456445,0.8108669632421517,0.006298120860620857,1e-06,22.232344991355923,22.232345991355924,True,False,42.821490327180754,2.998486184582011e-11,0.4188348344011466,0.12048732692847583,0.8212582542257422,0.2819982618293865,2.408220692822368,2.3238502368160696,2.6831810436722296,0.04790772413810582,0.05381672883393066,0.021099716231956868,0.052748375501784274,0.05776461377781943,0.032363318908635856
562,340,0.03925546218487395,0.031202817479796915,0.5943333333333333,0.0,-0.03286483333822873,0.0013806722689075693,25.45454544883504,0.0,25.45454544883504,False,True,2.2737367544323206e-13,0.4999998097694967,0.6099782027093176,0.006261947251247923,0.14289143674916005,0.46931173217486183,2.2221117309827285,2.225617999757444,-1.5897553193024723,0.01358584656676612,0.013383141596077222,0.013267873351562268,0.05566639016519197,0.055499360148642624,0.05558490453077069
596,340,0.30706950280112044,0.4247975686214875,0.9723333333333332,0.0,0.9381968370193747,0.04419446778711483,1e-06,18.34812546280251,18.34812646280251,True,False,740.8526196119959,1.9559493795970848e-163,0.5368707456066063,0.08785266148964443,0.8647474146183952,0.30449458912199256,1.3279464183792047,0.3068424734557755,1.4168203514231785,0.18273775494505454,0.3739658370496642,0.10725662852059897,0.3005545643652411,0.3982719596884444,0.14614594948387657
597,340,0.2981538865546219,0.42991204298117724,0.9707142857142855,0.0,0.9374180567496115,0.04398186274509808,1e-06,22.68235285646896,22.68235385646896,True,False,836.3305023435455,3.4067655543305666e-184,0.4515129908942663,0.12623588742059685,0.8854448287054352,0.4409513847835787,1.4795250324647669,0.3340971235745169,1.7256261933288861,0.19250222713193982,0.37843017528808365,0.11289963282399935,0.31482829983695926,0.40373141844333715,0.1523145910333997
598,340,0.29706621148459383,0.42975345346796245,0.9693333333333334,0.0,0.9378172964212773,0.04428718487394956,1e-06,23.043832593435614,23.043833593435615,True,False,843.1342606142596,1.1302374054045578e-185,0.44454703795483475,0.1294680526826233,0.8875250014562348,0.46398043175057646,1.494466086894347,0.3389955363514207,1.7499435813425404,0.1927870842016415,0.37834413512082904,0.11262831482441543,0.3163812115167511,0.40313672200729583,0.15133855394704976
708,318,0.26982075471698114,0.41326592024593883,0.9540000000000001,0.0,0.6939440830866684,0.08456184486373167,1e-06,10.24444395752913,10.24444495752913,True,False,387.64006666063455,1.3508637838564007e-86,0.3083336029487323,0.1783919391915256,0.6416827433384907,0.611007469411731,0.8714946275801129,0.22851892090499662,2.002106400566331,0.259311032984196,0.3843800213132884,0.2683968825693188,0.3469662810049809,0.42987264015959975,0.32050553213041316
