rep,n,sqrt_n_delta_beta1,sqrt_n_delta_gamma,loose_grad,tight_grad,loose_success,tight_success
50,1000,-9.865635844707996e-07,2.0551171122053265e-05,8.636661400496237e-06,1.6916421252217744e-08,True,True
51,1000,-5.434946368936852e-06,-2.775640535751133e-05,3.4805477733268475e-06,2.0060957961476333e-07,True,True
52,1000,-2.3479662193810464e-07,-7.707892621288e-07,1.6488420406801652e-07,2.0130210196865553e-07,True,True
53,1000,-3.423257188209778e-06,1.7604648550034795e-05,1.0791511239283125e-05,3.263200198944105e-08,True,True
54,1000,2.2672198301838894e-06,1.989189260147005e-06,2.408445506141277e-06,2.2608494631981557e-08,True,True
55,1000,-6.508697710899608e-06,-3.30027443879627e-05,4.219388107795652e-06,1.7445632337203497e-08,True,True
56,1000,1.0499726606780932e-05,1.257026781872509e-05,8.974499894787158e-06,5.0556170094751e-07,True,True
57,1000,3.4833212855302174e-06,1.5687980161394751e-06,4.166410226602579e-06,1.0672115724474907e-07,True,True
58,1000,7.473917899508223e-07,7.020714237383369e-07,7.355520899032797e-07,8.057488898316478e-09,True,True
59,1000,6.117224837046064e-07,2.4814792840575336e-07,1.115704344023527e-06,3.6208457920849924e-07,True,True
60,1000,3.3351864701438085e-06,2.803100480404271e-05,6.189372693476969e-06,3.1899440076531857e-08,True,True
61,1000,4.250541645004871e-07,4.908578566353589e-07,5.278503691918957e-07,1.3941416154850117e-07,True,True
62,1000,-4.830731591954789e-06,4.173408571909571e-05,2.3689512416602554e-05,4.1033842990145786e-13,True,True
63,1000,-2.4128183352125952e-06,-1.4378981490736529e-06,2.618862910530595e-06,2.691211165029017e-08,True,True
64,1000,-1.5168577346853126e-06,-4.952860006726053e-07,1.8422150076524701e-06,1.650825853793947e-08,True,True
65,1000,4.0123549060961725e-07,1.9263151198049847e-07,5.070671913465219e-07,4.512394014000165e-09,True,True
66,1000,-2.9734438958355267e-06,-1.5889599463228141e-06,3.608515586783767e-06,3.761024380821709e-08,True,True
67,1000,7.25554046266928e-06,8.568774504520657e-06,6.66511213864851e-06,7.209483321446442e-08,True,True
68,1000,-3.2041729503769416e-06,-2.3732660436956393e-06,3.255907071064712e-06,2.6661428442764645e-07,True,True
69,1000,1.2545178040555254e-05,2.914642047067711e-05,6.44126179488503e-06,3.088194548972467e-07,True,True
70,1000,3.2046206518608547e-06,2.0409900070357925e-06,3.6703467900522924e-06,4.137194808961908e-08,True,True
71,1000,3.6360018438317364e-06,3.917669890122076e-06,3.457195288714132e-06,1.8877889648413243e-08,True,True
72,1000,1.9481911512343537e-06,1.845512207593317e-05,4.569406282683985e-06,1.1001384334587755e-08,True,True
73,1000,1.197586162233087e-06,1.206157988536622e-06,1.2610102759250186,1.2610090775908258,True,True
74,1000,1.0146504488260873e-06,-4.014607962409631e-06,3.5166180962775684e-06,5.32366908222039e-07,True,True
75,1000,0.0,0.0,1.171561808899213e-06,1.171561808899213e-06,True,True
76,1000,3.425451520918308e-05,8.101053776313914e-05,1.6260110499120386e-05,1.7094005499984632e-07,True,True
77,1000,2.0896562256304996e-07,-1.3122234133291117e-06,8.598831269246432e-07,1.3325521827705024e-07,True,True
78,1000,6.928059690880823e-08,-1.5048932355244194e-06,2.364593107984092e-07,3.490141589068685e-07,True,True
79,1000,3.672268388435453e-06,3.964231279792368e-06,3.526828795119563e-06,7.598811979647735e-08,True,True
