n,rep,Khat,beta1_known,gamma_known,beta1_estimated,gamma_estimated,sqrt_n_delta_beta1,sqrt_n_delta_gamma,cover_beta1_model,cover_gamma_model,cover_beta1_hac,cover_gamma_hac,se_beta1_model,se_gamma_model,se_beta1_hac,se_gamma_hac
500,85,0.9881017760008375,5.971108775531208,4.630220724131554,5.966959083913424,4.663480601291436,-0.09278992543026848,0.7437134625278827,True,True,True,True,0.3557394202729889,1.0155126367223555,0.41048179392427786,1.0339108185582808
500,86,0.8749763795733639,5.738826252081041,5.430807032298109,5.673322206953474,6.0030558646467185,-1.4647149770645425,12.79587289176372,True,True,True,True,0.36438584866112916,1.0454338367531808,0.3682299037471021,0.9939807553948329
500,87,0.9943236438806634,5.382529763973999,4.9086076401736465,5.380023811215974,4.929718667929244,-0.05603480715346259,0.47205693136400284,True,True,True,True,0.34436933294953675,0.9349763738802658,0.3331404669373008,0.8217910490610831
500,88,0.9743504834679928,5.51707208407923,4.584833323149337,5.504149452485904,4.66509080850545,-0.2889588269086476,1.7946119295946281,True,True,True,True,0.3548751474254245,1.0210910698146036,0.3335162658665426,0.8535089511983706
500,89,0.9678600111087906,5.593554739678158,4.8114629908094555,5.580157717070134,4.929955863919621,-0.29956653247643683,2.6495811912358658,True,True,True,True,0.33722811808361125,0.879329262685181,0.34973637794217893,0.7702278416665992
500,90,0.9785905589841769,5.581816503247031,4.8317189568353545,5.5727180084004155,4.906193052771256,-0.20344852969962815,1.665291410755163,True,True,True,True,0.3486880954411457,0.968785557631215,0.33592326067047745,0.7977614177196458
500,91,0.9995611734904621,5.758157966203748,5.738157966203748,5.758208480101247,5.740727663584066,0.0011295250861744807,0.05746018023992647,True,True,True,True,0.3470911500738749,0.9081610024214233,0.3259378268660149,0.7653937043475384
500,92,0.9987662260279493,5.871836255172155,5.851836255172155,5.872205389986203,5.859434607896358,0.008254105370730475,0.16990433208339503,True,True,True,True,0.3600459635359117,0.9880486821017791,0.32535543660855254,0.8188967983754989
500,93,0.9885058706418511,5.5951685005737035,5.575168500573704,5.595303734388522,5.640132142835325,0.0030239200279054248,1.4526312016296345,True,True,True,True,0.3547064805641855,0.9720666333195674,0.31517035070639143,0.8082939637123561
500,94,0.9519706661192295,5.42275515628428,5.055049627530135,5.400634159546435,5.257202901188927,-0.4946405243587316,4.520284617751778,True,True,True,True,0.3450452643886806,0.9395952979246989,0.3061302062580835,0.7634275629374738
500,95,0.9948874787373485,5.606922138554236,4.61499802199071,5.6047537816127475,4.630739407415114,-0.04848593520650908,0.3519880786899311,True,True,True,True,0.35162107978311247,1.003343398028431,0.35531870975819196,0.832283807070976
500,96,0.977963783626034,5.711639244864637,5.546936861822813,5.704881894685582,5.642159104623882,-0.15109894348137332,2.1292340787318165,True,True,True,True,0.34275543220125115,0.8716835639476489,0.3748714109937991,0.9090685581836017
500,97,0.8930655279112716,5.553742998748377,4.033409716539802,5.477874974169083,4.338507818630049,-1.6964606027792624,6.822200960799621,True,True,True,True,0.3580693351728453,1.0813093073314657,0.36193807632631175,1.0205757963271498
500,98,0.9935892146733313,5.941031485187557,5.921031485187558,5.943065316514242,5.9612818144987685,0.04547785101235742,0.9000247245661929,True,True,True,True,0.3723779567388573,1.0752530621057685,0.3193876791537857,1.025210813016141
500,99,0.9985436981659502,5.458701380361053,5.039205634604434,5.458119977326696,5.044692689579534,-0.013000567071477613,0.12269427920603115,True,True,True,True,0.3462769059738086,0.9349965627040248,0.34744988849332087,0.8751398193272228
500,100,0.9360873996034955,5.593668284766874,5.573668284766875,5.6097720622223335,5.971421113658862,0.36009141084935636,8.894023636453266,True,True,True,True,0.3482798863361999,0.882640050672544,0.3232194978176207,0.8963291147306768
500,101,0.9999896147660605,5.41739092542674,4.7194081667349295,5.4173861964639425,4.719443320762334,-0.00010574282277944944,0.0007860679495961147,True,True,True,True,0.34450371184045736,0.9436057109372588,0.3277116987688516,0.7533558010303795
500,102,0.9756750551214539,5.500784090847343,5.480784090847344,5.4942341980166205,5.600435321190189,-0.14646005614834762,2.6754828463808784,True,True,True,True,0.3417136889177928,0.8855807871376981,0.3571734661640271,0.900721899026626
500,103,0.9761321379064144,5.224714874729571,4.713107440776261,5.211358432087609,4.800882310756908,-0.29865913685004186,1.9627057599293256,True,True,True,True,0.3436919054477133,0.9353206755356047,0.33432805671661125,0.9293606032670441
500,104,0.9766894681499891,5.58736365368027,5.488950671994843,5.5794752734650865,5.588897256329388,-0.17638954393514128,2.2348735669095885,True,True,True,True,0.35555666590000695,0.9879676823360523,0.3316885960205488,0.8023104313503451
500,105,0.9954206240531438,5.229331417597315,4.082848157549108,5.22671032370904,4.0963492787843645,-0.058609441095929464,0.30189424854498936,True,True,True,True,0.33319392442395385,0.8992101885794672,0.3778853677483785,1.0011702901646573
500,106,0.992379112530266,5.095657005355405,5.04198091909634,5.091840780295842,5.075070118039648,-0.08533338650622108,0.7398969815824985,True,True,True,True,0.33282843859229744,0.8382966590080327,0.32649953111153635,0.8078407854461815
500,107,0.9383144058840373,6.024003003223616,6.004003003223616,6.033504235659049,6.408837163693974,0.21245401595655794,9.052367024257789,True,True,True,True,0.35546312505150557,0.9434758991423915,0.3397407393310792,0.9281230965734296
500,108,0.9985742458243542,5.853248107845251,5.833248107845251,5.853221255898347,5.840710914510501,-0.0006004277860405622,0.16687343006436547,True,True,True,True,0.3542998777066404,0.943122031516494,0.36083463609956656,0.8875893534433693
500,109,0.9705654499028703,6.0853605349143525,6.065360534914353,6.094885784346226,6.259120170570849,0.2129910523231014,4.332597166235179,True,True,True,True,0.3665609864890752,1.0196178820498383,0.3457260586986889,0.9721715377469001
500,110,0.9434963312402964,5.637584811762417,5.617584811762417,5.631531134743607,5.947591897222145,-0.13536433327886416,7.379182761445331,True,True,True,True,0.3509816080469526,0.9263820129746614,0.328212899874986,0.7953840936985728
500,111,0.9819057843878848,5.384380387013043,4.129659452575525,5.374311507596616,4.180710305094295,-0.22514698832379634,1.1415317654128672,True,True,True,True,0.34537764388421005,0.9872809582654388,0.3657573038213816,1.0451011191569022
500,112,0.9332552594706598,5.655241623119227,5.635241623119227,5.66029825167007,6.043682255666295,0.11306965176651425,9.133010191482565,True,True,True,True,0.352277439074463,0.9269462055928355,0.3506063657126594,1.1117521204638947
500,113,0.985629573735048,5.594985405715755,4.766759685070066,5.588856892484631,4.814787317655595,-0.13703772185799548,1.0739305125962708,True,True,True,True,0.3451772444254871,0.944813177591731,0.39756911944431045,1.0575340483071958
500,114,0.9880361830724123,5.522068288549407,4.960588158616986,5.5171479832669466,5.0037444732832475,-0.11002137081631895,0.9650045325213228,True,True,True,True,0.3536698542109372,1.0027206768412382,0.31610018805343004,0.7829113723675323
500,115,0.9964892385405826,5.269680662588834,4.857395177642354,5.268063065443551,4.8710254475645565,-0.03617057177062343,0.3047821009771633,True,True,True,True,0.334505389658275,0.8677069151661951,0.31981611934860976,0.7241581740404863
500,116,0.9774033769633467,5.862320809336417,5.842320809336417,5.867549514695526,5.982739217520438,0.11691740617284475,3.139851059917822,True,True,True,True,0.3626461875747865,1.0005935531476031,0.331484167806994,0.8726541734662139
500,117,0.9997933839799505,5.233287546709713,4.886237448788141,5.2331911059763065,4.887036616413496,-0.0021564803569644646,0.01786993135711191,True,True,True,True,0.3419370955096453,0.918119493941405,0.3639011185494456,0.9058483610056834
500,118,0.9641321821037446,5.598042205233877,4.6692769948815736,5.581247635048602,4.7876260061387965,-0.37553800587166075,2.646364342410384,True,True,True,True,0.3527349423369857,1.0042393859327954,0.37660207994832773,0.9174318826369252
500,119,0.9786381056308435,5.441332955309477,5.045313649342951,5.431961199453156,5.128244473988251,-0.20955883163266245,1.854389613370052,True,True,True,True,0.34796659162827914,0.9433161412704313,0.3213196069696812,0.6772682784362902
500,120,0.9926724309801,5.5717809719451425,5.551780971945143,5.5722208195541025,5.593205418299169,0.00983529153375276,0.9262787797789517,True,True,True,True,0.3473603742446106,0.9096693560908182,0.30981837715178584,0.7571223292592845
500,121,0.9770825394864066,5.383520663739904,5.363520663739904,5.37871998927796,5.484408709314074,-0.10734634434752992,2.7031388757093695,True,True,True,True,0.3438894840402896,0.8988442598865385,0.34475834127535243,0.7831197631723086
500,122,0.9726574376297632,5.436264163270394,4.548303330577959,5.422000588227046,4.636555748625942,-0.31894323399095065,1.9733840593401857,True,True,True,True,0.35313540134057164,1.0134676615628353,0.3063276467177968,0.798409753146823
500,123,0.9824476612334638,5.572696879462795,5.3849754704032,5.566171927016937,5.456864018326125,-0.14590237218891858,1.6074767995941208,True,True,True,True,0.3485480151970553,0.9263612666568125,0.3088498212776709,0.7940884920328056
500,124,0.9595643815763469,5.804991607198117,4.846489822109557,5.7887182747901225,4.981948557207369,-0.3638827748472592,3.0289493982484386,True,True,True,True,0.3514353322785985,0.9925501549963203,0.3730002133207679,0.980644676720923
500,125,0.9987244726510348,4.886363867135283,3.539547169402547,4.885418285546426,3.5428560242479663,-0.02114384710956119,0.07398824362037403,False,False,False,False,0.33031873171846354,0.9092836073338906,0.29177741638495075,0.8581020949449777
500,126,0.9878906933159799,5.679597258027084,5.398583408563676,5.675722201934905,5.446986063478791,-0.08664888838738369,1.0823162668166215,True,True,True,True,0.35214723261379816,0.9605803018668317,0.3518936837019262,0.7873770534516413
500,127,0.9446086285505323,5.94820819602166,5.928208196021661,5.958009976130256,6.286211872997516,0.21917446623325687,8.005205579128882,True,True,True,True,0.35781866646686145,0.9513726293082989,0.35115609556127647,0.8695853538934346
500,128,0.9999742149149544,5.611865896933985,5.356541931672848,5.611858148071683,5.356647694889804,-0.0001732698285564068,0.0023649374263240304,True,True,True,True,0.34358328380022146,0.9041949340061438,0.3327567610987103,0.7720927718822146
500,129,0.9694880019637389,5.948140231486672,5.5480007147441865,5.939415909859397,5.666617689943785,-0.1950817621615846,2.6523561983170936,True,True,True,True,0.3599782500176981,1.011538037932736,0.3589078889751077,0.9411125319597475
500,130,0.9981714297031402,5.7883372992943505,5.768337299294351,5.788593928843309,5.7791615319614085,0.00573841116505443,0.24203720047814564,True,True,True,True,0.3536690482538058,0.9505611227778626,0.35020570564308295,0.9707222841220211
500,131,0.9845018721013039,5.478602413322696,5.284686708792391,5.472880397399463,5.349368161174701,-0.12794816572685117,1.4463212441026199,True,True,True,True,0.3501544410462255,0.9566209815938286,0.345475789144797,0.9808784384790945
500,132,0.9914317307397926,5.683412986304617,5.663412986304618,5.683326684139549,5.712270959810469,-0.0019297750769869115,1.092497500019665,True,True,True,True,0.3415235696906717,0.8588593505136485,0.35350896109760893,0.7870347266750346
500,133,0.999881039583361,5.3842176963274815,5.364217696327482,5.384210146899116,5.364848351494215,-0.00016881035015666132,0.014101878231774367,True,True,True,True,0.3430051148450038,0.8803837644697061,0.36075314627671157,0.8286445455147782
500,134,0.9916517022433753,5.543650503895505,5.523650503895506,5.543401569739418,5.569900759756718,-0.005566336949334643,1.034187160824279,True,True,True,True,0.3493409790498641,0.9228152055697241,0.3599291323996822,0.8830243517259514
500,135,0.9512821515034807,6.104379344615679,5.587759106358673,6.090715298352873,5.772544519898347,-0.3055373629133502,4.131927459251217,True,True,True,True,0.3688434456440796,1.0747643777111533,0.3597808083783617,0.996509015581945
500,136,0.98554372533691,5.956710040508657,4.928646219167225,5.95201190852165,4.973313143918706,-0.10505342490214738,0.9987828009017952,True,True,True,True,0.3631845876163472,1.0688972119259714,0.3628814889882551,1.1290326520160103
500,137,0.9723788810005698,6.292380574474986,6.272380574474987,6.302718691744913,6.461183818883487,0.2311673297492145,4.2217688886991445,True,True,True,True,0.37001393823542483,1.0358485240646684,0.3473639140703055,0.92107502948752
500,138,0.97792295373064,5.778237127886561,5.758237127886561,5.779113308517766,5.889127856696226,0.01959199451943012,2.926805672429011,True,True,True,True,0.34485361898961603,0.8775158932621923,0.339096182386421,0.8487950273110502
500,139,0.9769696557822817,5.627557370681206,5.080077709985442,5.618457008981401,5.165513960732672,-0.20349027380600246,1.9104126441352285,True,True,True,True,0.34933471200461047,0.953453473218925,0.3680502807328785,0.98806008946219
500,140,0.8582176466811873,6.024437689328803,4.593018735528348,5.94239269813304,5.053324244549615,-1.834581775270969,10.292744085891956,True,True,True,True,0.36595951592572823,1.1060382430223725,0.35996830734610563,0.9567621308151608
500,141,0.954747035079077,6.088782578551439,6.053287064642632,6.079984566381864,6.257468325314727,-0.19672953278040575,4.5656317859441025,True,True,True,True,0.36466488401818314,1.015854085513513,0.3482601381333484,0.9280795090597577
